Type,Total shift,Support fail,Early fail,Stick to nozzle,Fall over
Still,RED(p2),GREEN(p2),YELLOW(p2),OrangeLiberty(p1),BluePillard-re?(p1)
Still,PINK(p2),PURPLE(p2),BROWN(p2),BlackTilt(p1),WHITE(p2)
Still,GreenNeedle(p1),YellowPot(p1),ORANGE(p2),BLUE(p2),RED(p2)
Still,PURPLE(p2),BROWN(p2),BLACK(p2),WHITE(p2),PINK(p2)
Still,YellowCat(p1),ORANGE(p2),BLUE(p2),RED(p2),GreenStick-re?(p1)
Dynamic,BrownNefertit&Vailed(p1),BlackDuck(p1),WHITE(p2),PINK(p2),PURPLE(p2)
Dynamic,ORANGE(p2),BlueHourseback(p1),RED(p2),GREEN(p2),YellowOval(p1)
Dynamic,BlackWobbly(p1),WhiteMakara(p1),PinkNetriti(p1),PURPLE(p2),BROWN(p2)
Dynamic,BLUE(p2),RED(p2),GREEN(p2),YELLOW(p2),ORANGE(p2)
Dynamic,WHITE(p2),PinkBodhisattva(p1),PURPLE(p2),BrownWing(p1),BlackHand(p1)
